RAMP3,CRCP
EGFR,EMILIN1
C1R,FCN2
SERPINA3,TGM4
A2M,LGALS1
A2M,DCD
A2M,SERAC1
LDLR,B2M
LDLR,NAXE
LDLR,MYDGF
TGFB1,ERBB2
GNRH1,TRHR
GNRH1,CRHR1
GNRH1,PTH1R
GNRH1,NPFFR1
NPPA,CALCRL
PENK,CALCRL
PENK,CRELD2
CGA,PDGFA
CGA,GPHA2
VIP,CRELD2
IGF2,ERBB2
IFNG,IL20RB
IFNG,IL20RA
IL2RA,IL7R
IL2RA,IL3RA
IL2RA,NPTN
HLA-DQA2,HLA-DRA
HLA-DQA1,HLA-DRA
COL1A1,DDR1
COL2A1,DDR1
COL3A1,DDR1
CRP,TFPI
CRP,FCN2
APCS,FCN2
APOH,LDLR
ALB,STOML2
TF,KNG1
TF,ALDOA
TF,P4HB
TF,PRDX4
TF,PAPPA
TF,SDF2
LTF,CD44
LTF,CD44
FGF2,FGFBP1
APOB,LGALS1
APOB,L1CAM
APOB,TEK
APOB,CNTN1
APOB,CNTN1
APOB,LTBP2
APOB,P3H1
APOB,ERBIN
APOB,ROBO2
APOB,UGGT1
CSF2,IL2RB
CSF2,IL2RG
CSF2,LIFR
KRT1,EGFR
KRT1,ERBB3
KRT1,ERBB4
KRT1,ERBB4
ERBB2,NRP1
ERBB2,LGALS3
ERBB2,PTPRK
ERBB2,KL
WNT1,GPC4
WNT1,WNT3
IGF1,IDE
IGF1,ERBB4
IGF1,ERBB4
APP,DDR1
APP,DDR1
ITGB1,ERBIN
ITGB1,ERBIN
COL5A2,GPC4
GSN,ELN
CD2,CD86
ITGAV,TNC
ITGAV,MYOC
CRH,TRHR
CRH,CRELD2
CRH,NPFFR1
CRH,NMUR1
GRP,VIPR1
GRP,AVPR1A
GRP,SCTR
GRP,PTH1R
ADRB2,LPAR2
DCN,ERBIN
PSAP,STOML2
CTSL,VCAM1
CTSL,ICAM4
CTSB,CST3
LAMB1,LAMA5
LAMB1,ELN
LAMB1,COL17A1
THBS1,TFPI
COL1A2,MAG
COL1A2,MAG
COL1A2,COL9A3
COL4A2,TGFB2
COL4A2,COL9A3
MET,AP2M1
MET,MYOC
FGF4,FGFBP1
ANXA5,STOML2
HTR1A,LPAR2
NMB,EDNRA
NMB,VIPR1
NMB,AVPR1A
NMB,CCKBR
NMB,TRHR
MMP7,HRG
MMP7,IGFBP2
MMP7,IGFBP4
MMP7,IGFBP5
MMP7,ERBIN
PDGFRB,PDGFA
PDGFRB,PTPRK
PYY,HLA-DQB1
PYY,HLA-DQB1
PYY,CRELD2
PTPRF,NTN1
PTPRF,CNTN1
PTPRF,CNTN4
PTPRF,NTN1
PTPRF,CNTN1
PTPRF,CNTN1
PTPRF,CNTN4
LAMC1,LAMB1
LAMC1,DCC
FGFR1,EPHB2
CD79A,IL1RAP
BMP4,INHBB
BMP4,BMP4
BMP4,INHBE
BMP4,TGFB2
BMP4,AMHR2
ACE,DLG1
CDH1,NTN1
CDH1,L1CAM
CDH1,TEK
CDH1,CNTN4
CDH1,NTN4
TDGF1,BMPR2
BMP1,IL16
BMP1,IL16
VCAN,NEO1
MMP9,DLG1
MMP9,DLG1
IL2RB,IL13RA2
IL2RB,IL27
PVR,LILRB2
PVR,LILRB1
PVR,SECTM1
ELN,ELN
ELN,MFAP2
ELN,ICAM4
ELN,ELN
ELN,ICAM4
CD1D,HCST
CD1D,HCST
ITGB4,DCC
ITGB4,DCC
ITGB4,SERAC1
PDGFRA,PTPRJ
IFNAR1,IL27
ITGA2,MYOC
ENG,BMPR2
TAC1,VIPR1
TAC1,SCTR
TAC1,PTH1R
TRH,EDNRA
TRH,CCKBR
TRH,CRHR1
GRK2,LPAR4
GRK2,LPAR2
ERBB3,PTPRG
ERBB3,PKD1L3
MMP8,BCAN
PTPRD,CNTN1
PTPRD,CNTN1
PTPRD,CNTN4
LAMA2,LAMA5
IL4R,PTPRB
CXCR1,GRK2
GRK2,LPAR4
GRK2,LPAR2
AZGP1,HCST
ACVR2A,MGP
ACVR2A,ACVR2A
CALR,FSTL1
EPHB2,RYK
IL2RG,IL13RA2
RYK,RYK
RYK,FZD2
ADRA1B,LPAR2
FBN1,GPC4
FBN1,CRISPLD2
IL6ST,PTPRB
NOTCH1,ERBIN
NOTCH1,NOTCH3
NOTCH1,COL17A1
NPBWR2,DEFB103A
PRLHR,TAC3
CCR6,GRK2
HNRNPM,SELPLG
HNRNPM,ERBB4
HNRNPM,ERBB4
HNRNPM,HTRA1
HNRNPM,UGGT1
COL4A4,GPC4
COL4A4,MAG
COL4A4,MAG
COL4A4,ACHE
COL4A4,ADAMTSL4
LAMB2,LAMA5
LAMB2,LAMB1
LAMB2,DCC
WNT4,WNT7A
WNT4,GPC4
WNT4,WNT3
WNT4,WNT3A
WNT4,WNT7B
INHBE,MGP
INHBE,TGFB2
INHBE,GDF6
IL2,PRLR
HSPG2,LAMA2
HSPG2,DCC
HSPG2,MFAP5
HSPG2,LAMA4
LRP2,ERBIN
CNTN2,NTN4
NOTCH2,NOTCH1
NOTCH2,NOTCH2
NOTCH2,MFAP5
NOTCH2,ERBIN
MFGE8,NEO1
CD47,PTPRC
ACVR2B,MGP
ACVR2B,ACVR2A
ACVR2B,ACVR2B
COL4A6,GPC4
COL4A6,MAG
COL4A6,MAG
SLC1A5,UGGT1
AMHR2,MGP
AMHR2,BMP6
AMHR2,ACVR2A
AMOT,SMC3
IL22RA1,IL15
GLG1,ERBIN
GLG1,NOTCH3
ERBIN,ERBIN
IL20RA,IFNA8
CCR7,GRK2
TGFBR2,INHBB
TGFBR2,BMP6
TGFBR2,AMHR2
TGFBR2,CUL5
TGFBR2,TWSG1
LAMB4,ELN
LAMB4,NEO1
LEP,IL2RB
LEP,PRLR
LEP,IL4R
LEP,IL20RB
LEP,IFNLR1
LEP,NPTN
NPY,ADM
INHBA,AMHR2
IFNGR2,IL27
IFNGR2,IL22
BMP2,GDF6
LILRB2,CD8A
CRLF2 fusion,IL15
CRLF2 fusion,IL27
LOX,ELN
ACVR1,MGP
HLA-DRB1,HLA-G
HLA-DRB1,HCST
HLA-DRB1,HCST
VTN,OLFM1
SERPINA1,ERBB2
SERPINA1,ELN
NR3C4,SEMG2
MIF,VCP
MIF,UGGT1
GPC3,WNT7A
KIR2DS2,FCER1G
MASP2,FCN2
TLR4,TRIL
TLR4,LGR4
CORT,TACR2
CORT,GRPR
CORT,GNRHR
CORT,OPRK1
F2RL2,GRK2
F2RL2,NPB
LAD1,IDE
ACKR2,GRK2
FCN1,TGFB2
CCN1,GPC4
NRP1,LAMC2
NRP1,LAMC2
ANGPT2,TGFB2
LAMA5,LAMA5
LAMA5,DCC
HCRTR1,TAC3
CALU,STOML2
FGF17,FGFBP1
NRP2,PLXNB1
NRP2,LAMA2
TLR2,RTN4RL2
SNX2,ERBB2
SNX2,PAPPA
SNX2,TFR2
LRP6,FZD2
LRP6,FZD8
LRP6,FZD4
IL18RAP,IL18R1
GDF11,ACVR1
GDF11,INHBB
GDF11,BMP6
GDF11,BMPR1A
GDF11,INHBE
GDF11,GDF6
UTS2,TRHR
UTS2,CRHR1
UTS2,CRELD2
UTS2,NPFFR1
EGFR,PDGFRA
EGFR,PTPRG
EGFR,EPHB2
EGFR,CSF2RB
EGFR,BTC
EGFR,KDR
EGFR,P2RY2
EGFR,PTPRO
EGFR,PTPRU
EGFR,EMILIN3
EGFR,ANGPT4
C1R,FCN2
A2M,MYDGF
A2M,AP2M1
A2M,AP2M1
C3,DCD
KNG1,TFRC
LDLR,SELPLG
TGFB1,NTN1
TGFB1,AMHR2
TGFB1,NTNG1
NGF,BDNF
GNRH1,GALR1
GNRH1,HLA-DQB1
GNRH1,HLA-DQB1
GNRH1,CRELD2
CGA,NTRK3
TSHB,FSHR
FSHB,GFRA1
FSHB,GFRA1
IGF2,ERBB3
IGF2,ERBIN
IL2RA,IL13RA2
COL1A1,ITGB1
COL1A1,MAG
COL1A1,MAG
COL2A1,GPC4
COL3A1,GPC1
COL3A1,DDR1
FGG,HRG
CRP,TFPI
APCS,FCN1
APOH,VLDLR
APOH,LRP1
AFP,DCD
TF,CRTAP
TF,AHSG
TF,TFRC
TF,FOLR1
TF,CD44
TF,ANXA7
TF,B2M
TF,ERP44
TF,CRISPLD2
LTF,KNG1
LTF,SERPIND1
FGF1,FGFR1
FGF1,IL1R1
FGF1,IL1RAP
AMH,GDF10
ALDOA,ELN
ANXA1,STOML2
APOB,TFRC
APOB,RPSA
APOB,KDR
APOB,CNTN2
APOB,LAMA4
APOB,CNTN4
APOB,AP2M1
APOB,CPB2
APOB,KL
APOB,TFR2
CSF2,EPOR
CSF2,IL4R
CSF2,IL13RA1
CSF2,IL13RA2
CSF2,IL27RA
CSF2,IFNLR1
CSF2,IL31RA
CSF2,CSF3R
CSF2,CSF3R
KRT1,IDE
KRT1,TAOK2
ERBB2,PDGFA
ERBB2,LPAR4
ERBB2,EMILIN1
WNT1,WNT7A
WNT1,WNT7B
ELN,ANXA7
ELN,ICAM4
IGF1,INSR
ITGB3,ERBB2
ITGB3,ERBB3
ITGB2,EGFR
ITGB2,LTBP2
ITGB2,HTRA1
INHA,GDF6
IL5,IL2RG
FGF1,IL1RAP
ITGB1,MFAP5
HLA-DOA,HLA-DRA
GSN,CD44
GSN,TXLNA
ITGAV,ITGB4
ITGAV,ITGB4
ITGAV,ITGB7
ITGAV,ERBIN
ITGAV,OLFM1
CRH,EDNRA
CRH,TACR3
CRH,GALR1
TGFB1,ERBB2
ANXA2,STOML2
GRP,CCKBR
GRP,TRHR
GRP,CRHR1
ADRB2,PTGFR
DCN,FBLN2
PSAP,YARS1
PSAP,SMC3
CTSL,CTSB
CTSL,VCAM1
CTSL,PAPPA
CTSL,SDF2
CTSL,SDF2L1
CTSB,AHSG
CTSB,CST5
LAMB1,EMILIN1
THBS1,GPC4
THBS1,FOLR1
COL1A2,COL11A1
COL1A2,ADAMTSL4
COL4A2,COL1A2
COL4A2,COL11A1
COL4A2,LUM
MET,TFRC
ADRB1,LPAR2
HTR1A,AGTR1
NMB,EDNRB
NMB,EDNRB
NMB,TACR1
NMB,TACR3
NMB,SCTR
NMB,NPY2R
NMB,EDNRA
NMB,VIPR1
FGF2,FGFR1
FGF2,IL1R1
MMP7,ACAN
MMP7,TIMP2
MMP7,CD44
MMP7,TIMP4
MMP10,ACAN
INHBB,AMHR2
INHBB,TGFBR2
CTSH,SDF2
PYY,HLA-DQB1
AR,IL5
AR,IL25
CDH2,CDON
PTPRF,L1CAM
PTPRF,CNTN2
PTPRF,L1CAM
KIT,PTPRB
CLU,YARS1
FGFR1,EPHB2
CD79A,IL18R1
BMP4,TGFB3
BMP4,BMP15
BMP4,INHA
BMP4,INHBC
ACE,DLG1
CDH1,ITGA1
CDH1,CDON
CDH1,NEO1
CDH1,ITGA11
BMP1,GRIP1
BMP1,GRIP1
BMP1,GRIP1
ACAN,NEO1
ITGA4,LAMA4
ITGA4,MYOC
ITGA4,COL17A1
EDN3,CRHR1
EDN3,AVPR1A
DRD2,LPAR2
HSP90B1,EGFR
HSP90B1,ERBB2
HSP90B1,P4HB
HSP90B1,ERBB3
MMP9,TGM4
PVR,NGFR
PVR,KIR3DL1
ELN,AOAH
CSF2RA,IL27
VEGFA,PDGFA
CD44,ERBIN
ITGB4,ERBIN
PDGFRA,VEGFC
PDGFRA,TEK
PDGFRA,PTPRU
IL7R,IL13RA2
ITGA2,YARS1
ITGA2,CD276
ITGA2,COL17A1
ITGB6,ERBB2
ITGB6,ERBB3
ITGB6,ERBB4
ITGB6,ERBB4
TAC1,CRHR1
TAC1,ADM
TAC1,VIPR1
TRH,TACR3
TRH,HLA-DQB1
TRH,HLA-DQB1
TRH,NPFFR1
COL9A1,COL11A1
KITLG,IL2RB
ERBB3,PTPRC
ERBB3,TEK
ERBB3,PTPRK
BMP6,BMP6
VTN,MYOC
MMP8,ACAN
PTPRB,LAMA2
PTPRD,L1CAM
PTPRD,NTN4
BDNF,NTRK3
LAMA2,LAMB1
IL4R,CSF2RB
IL4R,IL13RA2
CXCR1,TAC3
CXCR2,GRK2
GRK2,CXCR4
F2R,GRK2
AZGP1,HCST
LAMA1,LAMA5
LAMA1,LAMB1
ITGA3,MYOC
ITGB7,ERBB2
ITGB7,ERBB3
CALR,TFPI
CALR,EFEMP1
IL1R2,IL1R1
CCN2,TWSG1
PRDX5,ERBIN
BDKRB2,GRK2
CSF2RB,PTPRB
THBS2,GPC4
THBS2,TFPI
FBN1,NEO1
FBN1,CPVL
GRIA1,GRIK4
GDF5,GDF6
KIR3DL1,CD247
KIR3DL2,CD247
NOTCH1,NOTCH1
NPBWR2,GRK2
IFNAR2,IL15
IFNAR2,IL13RA2
IFNAR2,IL20RB
NMU,CALCRL
PRLHR,GRK2
INSL3,ERBB2
INSL3,ERBIN
HNRNPM,EGFR
COL4A4,COL1A2
COL4A4,COL9A3
INHBC,MGP
INHBC,GDF6
LAMB2,ELN
LAMB2,COL17A1
WNT4,FZD8
INHBE,BMP6
INHBE,TGFBR3
INHBE,TGFBR2
IL2,EPOR
IL2,IL2RG
IL2,EBI3
HSPG2,LAMA5
HSPG2,LAMB1
HSPG2,RPSA
HSPG2,FBN1
HSPG2,FBN2
HSPG2,NOTCH3
HSPG2,COL17A1
HSPG2,EMILIN1
NDP,FSHR
RUNX1,IDE
RUNX1,IDE
CNTN2,NTNG1
NOTCH2,CDH1
NOTCH2,SERAC1
NOTCH2,GRIP1
IL10RB,IFNA8
MFGE8,LAMB3
MFGE8,ROBO4
IL18R1,IL18R1
IL18R1,IL18
LAMC2,ATP1B3
IL16,TFIP11
COL4A6,COL11A1
COL4A6,ADAMTSL4
P3H1,STOML2
IL23R,PTPRB
IL23R,IL13RA2
IL20RB,IL15
GPHB5,GFRA1
GPHB5,GFRA1
NAV2,ROBO1
NAV2,ROBO1
SEMA6D,PLXNB1
GLG1,NOTCH1
GLG1,GLG1
GLG1,COL17A1
IL22RA2,IFNA8
IL17RA,PTPRB
IL17RA,PTPRJ
DLL4,ERBIN
CCR7,CCL13
TGFBR2,CALU
TGFBR2,ADIPOR2
LAMB4,LAMA5
LAMB4,LAMB1
LEP,IFNAR1
LEP,IL22RA1
CD36,COL17A1
TGFB3,BMP6
CLCA1,DLG1
CLCA1,DLG1
IFNGR2,IL15
ADRA1D,LPAR2
AgRP,UTS2R
BMP2,INHBB
BMP2,INHBE
BMP2,AMHR2
BMP2,TGFBR2
LILRB2,FCER1G
LILRB2,HLA-F
LILRB2,HCST
CRLF2 fusion,IL13RA2
LOX,OLFM4
ACVR1,BMPR2
COL18A1,ACHE
HLA-DRB1,LILRB1
VTN,CD44
NR3C4,NR1D1
NR3C4,ACHE
ESR1,NR4A1
ESR1,LSR
MIF,ERP44
GPC3,WNT3
EL52,TAOK2
MASP2,PTX3
MASP2,FCN2
TLR4,ERBB2
TLR4,ERBB3
TLR4,RTN4RL1
TLR4,RTN4RL2
CORT,MC3R
BMPR1B,MGP
FCN1,ELN
NRP1,PTPRS
NRP1,NTNG1
ANGPT2,GDF10
NPFF,CALCRL
LAMA5,NEO1
LAMA5,ROBO2
MPPED1,ANXA5
CALU,P3H1
GDF9,GDF6
GRIN3B,DLG1
GRIN3B,DLG1
CUBN,ERBIN
SNX2,RET
SNX2,CUL5
SNX2,IL17RA
LRP5,GPC4
LRP5,GPC1
GPC4,ERBIN
GPC4,COL17A1
FGF18,FGFBP1
GDF11,MGP
GDF11,ACVR2A
GDF11,INHBC
GDF11,BMPR1B
UTS2,EDNRB
UTS2,EDNRA
UTS2,GALR1
UTS2,NPY2R
ABCA1,COL17A1
EFEMP2,FBLN1
AGR2,ANXA7
PNP,PRDX4
PNP,SELPLG
EGFR,LGALS1
EGFR,EPHB2
EGFR,DCC
EGFR,COL7A1
EGFR,LAMA4
EGFR,ERBIN
EGFR,LPAR2
HP,DCD
PLG,KNG1
PLG,F5
PLG,LAMA2
PLG,LAMC3
PLAT,PLAUR
PLAT,LAMC3
SERPINA3,ADIPOR1
A2M,HSD17B12
C3,C3
KNG1,MYOC
KNG1,TFR2
NGF,PLA2G3
GNRH1,EDNRA
GNRH1,TACR1
GNRH1,TACR3
GNRH1,NMUR1
CGA,VEGFB
CGA,NDP
LHB,TSHR
LHB,GFRA1
VIP,PTH1R
IGF2,EGFR
IGF2,ESM1
TNF,MIA
TNF,EDA2R
IFNB1,IL20RA
IL2RA,ICAM4
IL2RA,IL20RA
COL2A1,MAG
COL2A1,GPC1
COL2A1,COL1A2
COL3A1,GPC4
CRP,FCN3
CRP,KIR3DL2
ALB,CD276
TF,GSN
TF,PIP
TF,CRISP3
TF,ADIPOR2
TF,UGGT1
LTF,P4HB
LTF,MBL2
MMP1,BCAN
FGF1,IL1RAP
ALDOA,ELN
ALDOA,ELN
ANXA1,DCC
ANXA1,NEO1
APOB,MFAP5
APOB,ANKAR
APOB,ROBO1
CSF2,PRLR
CSF2,IL7R
CSF2,IL12B
CSF2,IL6ST
CSF2,EBI3
CSF2,IL20RA
CD74,PTH1R
KRT1,CTSB
ERBB2,EPHB2
ERBB2,EPHB2
ERBB2,RYK
ERBB2,AGTR2
ERBB2,PTPRU
WNT1,TWSG1
WNT1,FZD4
IGF1,ERBB2
IGF1,IDE
APP,HSPG2
APP,SPON1
ITGB3,ERBB4
ITGB3,ERBB4
ITGB2,P4HB
ITGB2,MFAP5
ITGB2,IGFBP7
ITGB2,ADAM2
S100A8,TFIP11
INHA,INHBE
SERPINE1,LRP1
ALPP,PAPPA
FGF1,IL1R1
ICAM1,CD276
COL5A2,MAG
GSN,GSN
GSN,HNRNPM
FCER2,B2M
ITGAV,ITGB3
ITGAV,LGALS3
ITGAV,DCC
ITGAV,YARS1
ITGAV,OLFM4
ITGAV,COL17A1
CRH,NPY2R
TGFB1,TGFBR2
ANXA2,CDH1
GRP,VIPR1
GRP,AVPR1A
GRP,PTH1R
ADRB2,MC1R
ADRB2,HTR4
ADRB2,TAC3
CTSL,B2M
CTSL,NPC2
CTSL,ICAM4
CTSL,CD276
CTSB,ICAM4
HSP90AA1,P4HB
THBS1,GPC1
THBS1,SUSD2
COL1A2,GPC4
COL1A2,COL1A2
COL1A2,FBLN2
COL1A2,DDR1
COL1A2,DDR1
CTSG,KNG1
MET,DCC
MET,TFR2
HTR1A,HTR4
HTR1A,LPAR4
NMB,CRHR1
NMB,GALR1
NMB,PTH1R
NMB,NPFFR1
NMB,GALR1
NMB,SCTR
FGF2,IL1RAP
MMP7,KNG1
INHBB,ACVR1
INHBB,MGP
INHBB,BMP6
INHBB,BMPR2
INHBB,GDF6
PDGFRB,NRP1
PDGFRB,TEK
PDGFRB,ULBP2
CTSH,SDF2L1
TACSTD2,SELPLG
ALPI,PAPPA
AR,SEMG2
AR,GRIP1
PTPRF,NTNG1
PTPRF,CNTN2
TFPI,F3
ALPG,PAPPA
KIT,PTPRB
GHR,IL13RA2
LAMC1,LAMC3
FGFR1,AIP
FGFR1,RYK
FGFR1,EPHB3
FGFR1,EPHB4
FGFR1,EPHB1
FGFR1,EPHA4
FGFR1,EPHA7
BMP4,GDF9
CDH1,ITGAV
CDH1,ITGA5
CDH1,ITGB4
CDH1,PDGFRA
CDH1,APLP1
CDH1,CNTN2
CDH1,CNTN1
CDH1,CNTN1
CDH1,ITGA9
CDH1,P3H1
CDH1,SPON1
BMP1,GRIP1
BMP1,CHRD
VCAN,DCC
ITGA4,TREML2
ITGA4,CD276
EDN3,EDNRA
EDN3,CCKBR
DRD2,LPAR2
HSP90B1,STOML2
IL1R1,IL37
MMP9,HRG
IL2RB,IL3RA
PVR,KIR3DL2
ELN,ICAM4
VEGFA,GPC1
ITGB4,LAMA5
ITGB4,LAMA5
PDGFRA,PTPRE
